2026-02-17 12:14:10 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: price=$2.43, prev_close=$4.83 (source: yahoo)
2026-02-17 12:14:10 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No Alpaca intraday data, trying Finnhub...
2026-02-17 12:14:11 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-17 12:14:11 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: Using Yahoo volume=325,539
2026-02-17 12:14:11 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No signal - price=False (-49.7%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-02-17 12:14:11 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: price=$4.54, prev_close=$4.48 (source: yahoo)
2026-02-17 12:14:11 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.54 vs VWAP $4.45), squeeze=False, mom=False
2026-02-17 12:14:12 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: price=$1.24, prev_close=$1.23 (source: yahoo)
2026-02-17 12:14:12 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: No signal - price=False (+0.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.24 vs VWAP $1.24), squeeze=False, mom=False
2026-02-17 12:14:13 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: price=$2.29, prev_close=$2.34 (source: yahoo)
2026-02-17 12:14:13 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No signal - price=False (-1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.29 vs VWAP $2.34), squeeze=False, mom=False
2026-02-17 12:14:13 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: price=$3.42, prev_close=$3.49 (source: yahoo)
2026-02-17 12:14:13 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: No signal - price=False (-1.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.42 vs VWAP $3.45), squeeze=False, mom=False
2026-02-17 12:14:14 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: price=$2.83, prev_close=$3.14 (source: yahoo)
2026-02-17 12:14:14 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: No signal - price=False (-10.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.83 vs VWAP $3.11), squeeze=False, mom=False
2026-02-17 12:14:15 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: price=$3.79, prev_close=$3.78 (source: yahoo)
2026-02-17 12:14:15 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: No signal - price=False (+0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.79 vs VWAP $3.77), squeeze=False, mom=False
2026-02-17 12:14:15 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: price=$2.08, prev_close=$2.14 (source: yahoo)
2026-02-17 12:14:16 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: No signal - price=False (-2.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.08 vs VWAP $2.12), squeeze=False, mom=False
2026-02-17 12:14:16 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Alpaca returned insufficient data, trying Yahoo...
2026-02-17 12:14:16 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Got 20 bars from Yahoo
2026-02-17 12:14:16 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: price=$1.17, prev_close=$1.14 (source: yahoo)
2026-02-17 12:14:16 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No Alpaca intraday data, trying Finnhub...
2026-02-17 12:14:17 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-17 12:14:17 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Using Yahoo volume=102,050
2026-02-17 12:14:17 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
