2026-02-19 08:59:05 | DEBUG    | shortsqueeze.signals:scan_stock - KOS: price=$1.81, prev_close=$1.70 (source: yahoo)
2026-02-19 08:59:05 | DEBUG    | shortsqueeze.signals:scan_stock - KOS: No signal - price=True (+6.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.81 vs VWAP $1.67), squeeze=False, mom=False
2026-02-19 08:59:06 | DEBUG    | shortsqueeze.signals:scan_stock - RZLV: price=$2.21, prev_close=$2.28 (source: yahoo)
2026-02-19 08:59:06 | DEBUG    | shortsqueeze.signals:scan_stock - RZLV: No signal - price=False (-2.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.21 vs VWAP $2.25), squeeze=False, mom=False
2026-02-19 08:59:06 | DEBUG    | shortsqueeze.signals:scan_stock - CGC: price=$1.15, prev_close=$1.15 (source: yahoo)
2026-02-19 08:59:07 | DEBUG    | shortsqueeze.signals:scan_stock - CGC: No signal - price=False (-0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.15 vs VWAP $1.16), squeeze=False, mom=False
2026-02-19 08:59:07 | DEBUG    | shortsqueeze.signals:scan_stock - PURR: price=$3.96, prev_close=$4.08 (source: yahoo)
2026-02-19 08:59:07 | DEBUG    | shortsqueeze.signals:scan_stock - PURR: No signal - price=False (-2.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($3.96 vs VWAP $4.14), squeeze=False, mom=False
2026-02-19 08:59:08 | DEBUG    | shortsqueeze.signals:scan_stock - NIO: price=$4.88, prev_close=$4.91 (source: yahoo)
2026-02-19 08:59:08 | DEBUG    | shortsqueeze.signals:scan_stock - NIO: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.88 vs VWAP $4.95), squeeze=False, mom=False
2026-02-19 08:59:09 | DEBUG    | shortsqueeze.signals:scan_stock - BTE: price=$3.79, prev_close=$3.62 (source: yahoo)
2026-02-19 08:59:09 | DEBUG    | shortsqueeze.signals:scan_stock - BTE: No Alpaca intraday data, trying Finnhub...
2026-02-19 08:59:10 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 08:59:10 | DEBUG    | shortsqueeze.signals:scan_stock - BTE: Using Yahoo volume=6,484,877
2026-02-19 08:59:10 | DEBUG    | shortsqueeze.signals:scan_stock - BTE: No signal - price=False (+4.8%, need +5.0%), vol=False (ratio=1.5x, need 3.0x, src=yahoo), vwap=True ($3.79 vs VWAP $3.60), squeeze=False, mom=False
2026-02-19 08:59:10 | DEBUG    | shortsqueeze.signals:scan_stock - URG: price=$1.62, prev_close=$1.58 (source: yahoo)
2026-02-19 08:59:10 | DEBUG    | shortsqueeze.signals:scan_stock - URG: No signal - price=False (+2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.62 vs VWAP $1.57), squeeze=False, mom=False
2026-02-19 08:59:11 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: price=$4.48, prev_close=$4.55 (source: yahoo)
2026-02-19 08:59:11 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No Alpaca intraday data, trying Finnhub...
2026-02-19 08:59:12 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 08:59:12 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: Using Yahoo volume=133,217
2026-02-19 08:59:12 | DEBUG    | shortsqueeze.signals:scan_stock - FWDI: No signal - price=False (-1.5%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=False ($4.48 vs VWAP $4.62), squeeze=False, mom=False
2026-02-19 08:59:12 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: price=$4.75, prev_close=$4.74 (source: yahoo)
2026-02-19 08:59:12 | DEBUG    | shortsqueeze.signals:scan_stock - AUR: No signal - price=False (+0.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($4.75 vs VWAP $4.75), squeeze=False, mom=False
2026-02-19 08:59:13 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: price=$1.23, prev_close=$1.22 (source: yahoo)
2026-02-19 08:59:13 | DEBUG    | shortsqueeze.signals:scan_stock - ORBS: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($1.23 vs VWAP $1.25), squeeze=False, mom=False
2026-02-19 08:59:14 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: price=$2.25, prev_close=$2.30 (source: yahoo)
2026-02-19 08:59:14 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No Alpaca intraday data, trying Finnhub...
2026-02-19 08:59:15 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 08:59:15 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: Using Yahoo volume=2,300,270
2026-02-19 08:59:15 | DEBUG    | shortsqueeze.signals:scan_stock - WIT: No signal - price=False (-2.4%, need +5.0%), vol=False (ratio=1.0x, need 3.0x, src=yahoo), vwap=False ($2.25 vs VWAP $2.31), squeeze=False, mom=False
2026-02-19 08:59:15 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: price=$3.35, prev_close=$3.45 (source: yahoo)
2026-02-19 08:59:15 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: No Alpaca intraday data, trying Finnhub...
2026-02-19 08:59:16 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
2026-02-19 08:59:16 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: Using Yahoo volume=211,655
2026-02-19 08:59:16 | DEBUG    | shortsqueeze.signals:scan_stock - LWLG: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=False ($3.35 vs VWAP $3.48), squeeze=False, mom=False
2026-02-19 08:59:17 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: price=$3.24, prev_close=$3.12 (source: yahoo)
2026-02-19 08:59:17 | DEBUG    | shortsqueeze.signals:scan_stock - SATL: No signal - price=False (+3.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($3.24 vs VWAP $3.16), squeeze=False, mom=False
2026-02-19 08:59:18 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: price=$4.04, prev_close=$3.92 (source: yahoo)
2026-02-19 08:59:18 | DEBUG    | shortsqueeze.signals:scan_stock - DNN: No signal - price=False (+2.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($4.04 vs VWAP $3.93), squeeze=False, mom=False
2026-02-19 08:59:18 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: price=$2.05, prev_close=$2.06 (source: yahoo)
2026-02-19 08:59:19 | DEBUG    | shortsqueeze.signals:scan_stock - BITF: No signal - price=False (-0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($2.05 vs VWAP $2.09), squeeze=False, mom=False
2026-02-19 08:59:19 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Alpaca returned insufficient data, trying Yahoo...
2026-02-19 08:59:19 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: Got 22 bars from Yahoo
2026-02-19 08:59:19 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: price=$1.16, prev_close=$1.17 (source: yahoo)
2026-02-19 08:59:19 | DEBUG    | shortsqueeze.signals:scan_stock - ALKEF: No Alpaca intraday data, trying Finnhub...
2026-02-19 08:59:20 | DEBUG    | shortsqueeze.broker.finnhub_data:_request - Finnhub stock/candle: HTTP 403
