2026-02-26 10:33:22 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: price=$17.34, prev_close=$18.18 (source: yahoo)
2026-02-26 10:33:22 | DEBUG    | shortsqueeze.signals:scan_stock - XPEV: No signal - price=False (-4.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.34 vs VWAP $18.18), squeeze=False, mom=False
2026-02-26 10:33:23 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: price=$18.01, prev_close=$17.85 (source: yahoo)
2026-02-26 10:33:23 | DEBUG    | shortsqueeze.signals:scan_stock - ZETA: No signal - price=False (+0.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($18.01 vs VWAP $17.29), squeeze=False, mom=False
2026-02-26 10:33:23 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: price=$57.95, prev_close=$57.96 (source: yahoo)
2026-02-26 10:33:24 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: Using Yahoo volume=719,237
2026-02-26 10:33:24 | DEBUG    | shortsqueeze.signals:scan_stock - RAPT: No signal - price=False (-0.0%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=True ($57.95 vs VWAP $57.94), squeeze=False, mom=False
2026-02-26 10:33:24 | DEBUG    | shortsqueeze.signals:scan_stock - BA: price=$232.01, prev_close=$230.36 (source: yahoo)
2026-02-26 10:33:24 | DEBUG    | shortsqueeze.signals:scan_stock - BA: No signal - price=False (+0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($232.01 vs VWAP $230.43), squeeze=False, mom=False
2026-02-26 10:33:25 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: price=$8.84, prev_close=$9.15 (source: yahoo)
2026-02-26 10:33:25 | DEBUG    | shortsqueeze.signals:scan_stock - UAMY: No signal - price=False (-3.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($8.84 vs VWAP $8.84), squeeze=False, mom=False
2026-02-26 10:33:26 | DEBUG    | shortsqueeze.signals:scan_stock - BTDR: price=$7.96, prev_close=$8.55 (source: yahoo)
2026-02-26 10:33:26 | DEBUG    | shortsqueeze.signals:scan_stock - BTDR: No signal - price=False (-6.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.96 vs VWAP $8.61), squeeze=False, mom=False
2026-02-26 10:33:26 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: price=$18.52, prev_close=$18.61 (source: yahoo)
2026-02-26 10:33:26 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: Using Yahoo volume=1,845,352
2026-02-26 10:33:26 | DEBUG    | shortsqueeze.signals:scan_stock - TAK: No signal - price=False (-0.5%, need +5.0%), vol=False (ratio=1.3x, need 3.0x, src=yahoo), vwap=False ($18.52 vs VWAP $18.60), squeeze=False, mom=False
2026-02-26 10:33:27 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: price=$7.21, prev_close=$7.39 (source: yahoo)
2026-02-26 10:33:27 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: Using Yahoo volume=137,915
2026-02-26 10:33:27 | DEBUG    | shortsqueeze.signals:scan_stock - CTOS: No signal - price=False (-2.4%, need +5.0%), vol=False (ratio=0.3x, need 3.0x, src=yahoo), vwap=False ($7.21 vs VWAP $7.45), squeeze=False, mom=False
2026-02-26 10:33:27 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: price=$7.14, prev_close=$7.46 (source: yahoo)
2026-02-26 10:33:28 | DEBUG    | shortsqueeze.signals:scan_stock - SBET: No signal - price=False (-4.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($7.14 vs VWAP $7.27), squeeze=False, mom=False
2026-02-26 10:33:28 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: price=$12.41, prev_close=$12.82 (source: yahoo)
2026-02-26 10:33:28 | DEBUG    | shortsqueeze.signals:scan_stock - NXE: No signal - price=False (-3.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.41 vs VWAP $12.85), squeeze=False, mom=False
2026-02-26 10:33:29 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: price=$8.84, prev_close=$8.92 (source: yahoo)
2026-02-26 10:33:29 | DEBUG    | shortsqueeze.signals:scan_stock - USAS: No signal - price=False (-1.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($8.84 vs VWAP $8.98), squeeze=False, mom=False
2026-02-26 10:33:29 | DEBUG    | shortsqueeze.signals:scan_stock - HL: price=$23.94, prev_close=$23.31 (source: yahoo)
2026-02-26 10:33:30 | DEBUG    | shortsqueeze.signals:scan_stock - HL: No signal - price=False (+2.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($23.94 vs VWAP $23.81), squeeze=False, mom=False
2026-02-26 10:33:30 | DEBUG    | shortsqueeze.signals:scan_stock - JD: price=$26.86, prev_close=$27.54 (source: yahoo)
2026-02-26 10:33:30 | DEBUG    | shortsqueeze.signals:scan_stock - JD: No signal - price=False (-2.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($26.86 vs VWAP $27.41), squeeze=False, mom=False
2026-02-26 10:33:31 | DEBUG    | shortsqueeze.signals:scan_stock - PICK: price=$63.23, prev_close=$64.42 (source: yahoo)
