2026-03-05 09:59:46 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Alpaca returned insufficient data, trying Yahoo...
2026-03-05 09:59:46 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Got 20 bars from Yahoo
2026-03-05 09:59:47 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: price=$17.06, prev_close=$17.10 (source: yahoo)
2026-03-05 09:59:47 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: Using Yahoo volume=78,109
2026-03-05 09:59:47 | DEBUG    | shortsqueeze.signals:scan_stock - PRNDY: No signal - price=False (-0.2%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
2026-03-05 09:59:47 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: price=$20.50, prev_close=$49.54 (source: yahoo)
2026-03-05 09:59:48 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: Using Yahoo volume=2,350,778
2026-03-05 09:59:48 | DEBUG    | shortsqueeze.signals:scan_stock - FITB: No signal - price=False (-58.6%, need +5.0%), vol=False (ratio=0.6x, need 3.0x, src=yahoo), vwap=False ($20.50 vs VWAP $49.58), squeeze=False, mom=False
2026-03-05 09:59:48 | DEBUG    | shortsqueeze.signals:scan_stock - SRAD: price=$19.19, prev_close=$19.23 (source: yahoo)
2026-03-05 09:59:48 | DEBUG    | shortsqueeze.signals:scan_stock - SRAD: No signal - price=False (-0.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($19.19 vs VWAP $19.09), squeeze=False, mom=False
2026-03-05 09:59:49 | DEBUG    | shortsqueeze.signals:scan_stock - GLUE: price=$17.89, prev_close=$18.61 (source: yahoo)
2026-03-05 09:59:49 | DEBUG    | shortsqueeze.signals:scan_stock - GLUE: No signal - price=False (-3.9%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($17.89 vs VWAP $18.51), squeeze=False, mom=False
2026-03-05 09:59:50 | DEBUG    | shortsqueeze.signals:scan_stock - LOGI: price=$89.90, prev_close=$92.01 (source: yahoo)
2026-03-05 09:59:50 | DEBUG    | shortsqueeze.signals:scan_stock - LOGI: No signal - price=False (-2.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($89.90 vs VWAP $91.60), squeeze=False, mom=False
2026-03-05 09:59:51 | DEBUG    | shortsqueeze.signals:scan_stock - MSTR: price=$143.83, prev_close=$146.44 (source: yahoo)
2026-03-05 09:59:51 | DEBUG    | shortsqueeze.signals:scan_stock - MSTR: No signal - price=False (-1.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($143.83 vs VWAP $146.47), squeeze=False, mom=False
2026-03-05 09:59:51 | DEBUG    | shortsqueeze.signals:scan_stock - CTRA: price=$31.34, prev_close=$30.55 (source: yahoo)
2026-03-05 09:59:52 | DEBUG    | shortsqueeze.signals:scan_stock - CTRA: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($31.34 vs VWAP $30.39), squeeze=False, mom=False
2026-03-05 09:59:52 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: price=$51.14, prev_close=$51.50 (source: yahoo)
2026-03-05 09:59:52 | DEBUG    | shortsqueeze.signals:scan_stock - XLF: No signal - price=False (-0.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($51.14 vs VWAP $51.46), squeeze=False, mom=False
2026-03-05 09:59:53 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: price=$23.07, prev_close=$24.34 (source: yahoo)
2026-03-05 09:59:53 | DEBUG    | shortsqueeze.signals:scan_stock - GLXY: No signal - price=False (-5.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($23.07 vs VWAP $23.67), squeeze=False, mom=False
2026-03-05 09:59:54 | DEBUG    | shortsqueeze.signals:scan_stock - EQPT: price=$28.91, prev_close=$29.76 (source: yahoo)
2026-03-05 09:59:54 | DEBUG    | shortsqueeze.signals:scan_stock - EQPT: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($28.91 vs VWAP $29.72), squeeze=False, mom=False
2026-03-05 09:59:54 | DEBUG    | shortsqueeze.signals:scan_stock - EFA: price=$99.18, prev_close=$101.38 (source: yahoo)
2026-03-05 09:59:55 | DEBUG    | shortsqueeze.signals:scan_stock - EFA: No signal - price=False (-2.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($99.18 vs VWAP $101.11), squeeze=False, mom=False
2026-03-05 09:59:55 | DEBUG    | shortsqueeze.signals:scan_stock - GME: price=$23.85, prev_close=$23.87 (source: yahoo)
