2026-03-23 09:57:16 | DEBUG    | shortsqueeze.signals:scan_stock - CHRS: price=$1.58, prev_close=$1.52 (source: yahoo)
2026-03-23 09:57:16 | DEBUG    | shortsqueeze.signals:scan_stock - CHRS: No signal - price=False (+4.3%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.58 vs VWAP $1.50), squeeze=False, mom=False
2026-03-23 09:57:16 | DEBUG    | shortsqueeze.signals:scan_stock - AREC: price=$2.65, prev_close=$2.59 (source: yahoo)
2026-03-23 09:57:16 | DEBUG    | shortsqueeze.signals:scan_stock - AREC: No signal - price=False (+2.1%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.65 vs VWAP $2.59), squeeze=False, mom=False
2026-03-23 09:57:17 | DEBUG    | shortsqueeze.signals:scan_stock - ZENA: price=$2.42, prev_close=$2.41 (source: yahoo)
2026-03-23 09:57:17 | DEBUG    | shortsqueeze.signals:scan_stock - ZENA: No signal - price=False (+0.4%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($2.42 vs VWAP $2.32), squeeze=False, mom=False
2026-03-23 09:57:18 | DEBUG    | shortsqueeze.signals:scan_stock - IQ: price=$1.25, prev_close=$1.23 (source: yahoo)
2026-03-23 09:57:18 | DEBUG    | shortsqueeze.signals:scan_stock - IQ: No signal - price=False (+1.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($1.25 vs VWAP $1.22), squeeze=False, mom=False
2026-03-23 09:57:18 | INFO     | shortsqueeze.signals:scan_watchlist - Scan complete: 219 stocks scanned, 0 signals detected, 0 errors
2026-03-23 09:57:18 | INFO     | shortsqueeze.bot:_run_scan - No signals detected
2026-03-23 09:59:33 | INFO     | shortsqueeze.bot:_run_scan - Running intraday scan...
2026-03-23 09:59:34 | INFO     | shortsqueeze.signals:scan_watchlist - Scanning 219 stocks from watchlist...
2026-03-23 09:59:35 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: price=$12.27, prev_close=$12.82 (source: yahoo)
2026-03-23 09:59:35 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: Using Yahoo volume=1,291,066
2026-03-23 09:59:35 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: No signal - price=False (-4.3%, need +5.0%), vol=False (ratio=1.8x, need 3.0x, src=yahoo), vwap=True, squeeze=False, mom=False
