2026-03-25 06:37:04 | DEBUG    | shortsqueeze.signals:scan_stock - MPT: Using Yahoo volume=88,165
2026-03-25 06:37:04 | DEBUG    | shortsqueeze.signals:scan_stock - MPT: No signal - price=True (+21.6%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=True ($5.58 vs VWAP $4.58), squeeze=False, mom=False
2026-03-25 06:37:05 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: price=$3.05, prev_close=$3.01 (source: yahoo)
2026-03-25 06:37:05 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: Using Yahoo volume=970,792
2026-03-25 06:37:05 | DEBUG    | shortsqueeze.signals:scan_stock - ABSI: No signal - price=False (+1.5%, need +5.0%), vol=True (ratio=14.1x, need 3.0x, src=yahoo), vwap=True ($3.05 vs VWAP $2.95), squeeze=False, mom=False
2026-03-25 06:37:06 | DEBUG    | shortsqueeze.signals:scan_stock - SLS: price=$5.39, prev_close=$5.00 (source: yahoo)
2026-03-25 06:37:06 | DEBUG    | shortsqueeze.signals:scan_stock - SLS: Using Yahoo volume=564,728
2026-03-25 06:37:06 | DEBUG    | shortsqueeze.signals:scan_stock - SLS: No signal - price=True (+7.9%, need +5.0%), vol=True (ratio=3.8x, need 3.0x, src=yahoo), vwap=True ($5.39 vs VWAP $5.13), squeeze=False, mom=False
2026-03-25 06:37:06 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: price=$3.64, prev_close=$3.54 (source: yahoo)
2026-03-25 06:37:07 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: Using Yahoo volume=1,718,543
2026-03-25 06:37:07 | DEBUG    | shortsqueeze.signals:scan_stock - BBAI: No signal - price=False (+2.8%, need +5.0%), vol=False (ratio=2.6x, need 3.0x, src=yahoo), vwap=True ($3.64 vs VWAP $3.57), squeeze=False, mom=False
2026-03-25 06:37:07 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: price=$3.10, prev_close=$2.93 (source: yahoo)
2026-03-25 06:37:07 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: Using Yahoo volume=352,647
2026-03-25 06:37:07 | DEBUG    | shortsqueeze.signals:scan_stock - INDI: No signal - price=True (+5.8%, need +5.0%), vol=False (ratio=2.9x, need 3.0x, src=yahoo), vwap=True ($3.10 vs VWAP $2.86), squeeze=False, mom=False
2026-03-25 06:37:08 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: price=$1.88, prev_close=$1.87 (source: yahoo)
2026-03-25 06:37:08 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: Using Yahoo volume=557,120
2026-03-25 06:37:08 | DEBUG    | shortsqueeze.signals:scan_stock - EVGO: No signal - price=False (+0.8%, need +5.0%), vol=True (ratio=6.1x, need 3.0x, src=yahoo), vwap=True ($1.88 vs VWAP $1.88), squeeze=False, mom=False
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: price=$1.78, prev_close=$1.73 (source: yahoo)
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: Using Yahoo volume=10,057
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - CRDF: No signal - price=False (+2.9%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=True ($1.78 vs VWAP $1.72), squeeze=False, mom=False
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - STIM: price=$1.45, prev_close=$1.46 (source: yahoo)
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - STIM: Using Yahoo volume=69,251
2026-03-25 06:37:09 | DEBUG    | shortsqueeze.signals:scan_stock - STIM: No signal - price=False (-0.3%, need +5.0%), vol=False (ratio=2.3x, need 3.0x, src=yahoo), vwap=False ($1.45 vs VWAP $1.49), squeeze=False, mom=False
2026-03-25 06:37:10 | DEBUG    | shortsqueeze.signals:scan_stock - ABEO: price=$4.42, prev_close=$4.33 (source: yahoo)
2026-03-25 06:37:10 | DEBUG    | shortsqueeze.signals:scan_stock - ABEO: Using Yahoo volume=29,829
2026-03-25 06:37:10 | DEBUG    | shortsqueeze.signals:scan_stock - ABEO: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=1.2x, need 3.0x, src=yahoo), vwap=True ($4.42 vs VWAP $4.35), squeeze=False, mom=False
2026-03-25 06:37:11 | DEBUG    | shortsqueeze.signals:scan_stock - PLUG: price=$2.37, prev_close=$2.29 (source: yahoo)
2026-03-25 06:37:11 | DEBUG    | shortsqueeze.signals:scan_stock - PLUG: Using Yahoo volume=3,239,300
2026-03-25 06:37:11 | DEBUG    | shortsqueeze.signals:scan_stock - PLUG: No signal - price=False (+3.3%, need +5.0%), vol=False (ratio=2.1x, need 3.0x, src=yahoo), vwap=True ($2.37 vs VWAP $2.27), squeeze=False, mom=False
2026-03-25 06:37:12 | DEBUG    | shortsqueeze.signals:scan_stock - ASPI: price=$5.08, prev_close=$4.98 (source: yahoo)
2026-03-25 06:37:12 | DEBUG    | shortsqueeze.signals:scan_stock - ASPI: Using Yahoo volume=445,006
2026-03-25 06:37:12 | DEBUG    | shortsqueeze.signals:scan_stock - ASPI: No signal - price=False (+2.0%, need +5.0%), vol=True (ratio=4.7x, need 3.0x, src=yahoo), vwap=True ($5.08 vs VWAP $5.02), squeeze=False, mom=False
2026-03-25 06:37:12 | DEBUG    | shortsqueeze.signals:scan_stock - ABCL: price=$3.46, prev_close=$3.31 (source: yahoo)
2026-03-25 06:37:13 | DEBUG    | shortsqueeze.signals:scan_stock - ABCL: Using Yahoo volume=142,585
2026-03-25 06:37:13 | DEBUG    | shortsqueeze.signals:scan_stock - ABCL: No signal - price=False (+4.5%, need +5.0%), vol=False (ratio=2.7x, need 3.0x, src=yahoo), vwap=True ($3.46 vs VWAP $3.31), squeeze=False, mom=False
2026-03-25 06:37:13 | DEBUG    | shortsqueeze.signals:scan_stock - VUZI: price=$2.43, prev_close=$2.44 (source: yahoo)
2026-03-25 06:37:13 | DEBUG    | shortsqueeze.signals:scan_stock - VUZI: Using Yahoo volume=31,340
2026-03-25 06:37:13 | DEBUG    | shortsqueeze.signals:scan_stock - VUZI: No signal - price=False (-0.4%, need +5.0%), vol=False (ratio=1.8x, need 3.0x, src=yahoo), vwap=True ($2.43 vs VWAP $2.43), squeeze=False, mom=False
2026-03-25 06:37:14 | DEBUG    | shortsqueeze.signals:scan_stock - SPCE: price=$2.46, prev_close=$2.38 (source: yahoo)
2026-03-25 06:37:14 | DEBUG    | shortsqueeze.signals:scan_stock - SPCE: Using Yahoo volume=143,489
2026-03-25 06:37:14 | DEBUG    | shortsqueeze.signals:scan_stock - SPCE: No signal - price=False (+3.1%, need +5.0%), vol=True (ratio=5.0x, need 3.0x, src=yahoo), vwap=True ($2.46 vs VWAP $2.43), squeeze=False, mom=False
2026-03-25 06:37:15 | DEBUG    | shortsqueeze.signals:scan_stock - TMQ: price=$3.50, prev_close=$3.37 (source: yahoo)
2026-03-25 06:37:15 | DEBUG    | shortsqueeze.signals:scan_stock - TMQ: Using Yahoo volume=177,614
2026-03-25 06:37:15 | DEBUG    | shortsqueeze.signals:scan_stock - TMQ: No signal - price=False (+3.9%, need +5.0%), vol=True (ratio=3.3x, need 3.0x, src=yahoo), vwap=True ($3.50 vs VWAP $3.35), squeeze=False, mom=False
2026-03-25 06:37:15 | DEBUG    | shortsqueeze.signals:scan_stock - SNAP: price=$4.53, prev_close=$4.37 (source: yahoo)
