2026-05-01 10:28:51 | DEBUG    | shortsqueeze.signals:scan_stock - NAGE: Using Yahoo volume=169,922
2026-05-01 10:28:51 | DEBUG    | shortsqueeze.signals:scan_stock - NAGE: No signal - price=False (+2.6%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True ($4.86 vs VWAP $4.73), squeeze=False, mom=False
2026-05-01 10:28:51 | INFO     | shortsqueeze.signals:scan_watchlist - Scan complete: 358 stocks scanned, 0 signals detected, 0 errors
2026-05-01 10:28:51 | INFO     | shortsqueeze.bot:_run_scan - No signals detected
2026-05-01 10:29:18 | INFO     | shortsqueeze.bot:_run_scan - Running intraday scan...
2026-05-01 10:29:19 | INFO     | shortsqueeze.signals:scan_watchlist - Scanning 358 stocks from watchlist...
2026-05-01 10:29:21 | DEBUG    | shortsqueeze.signals:scan_stock - VG: price=$12.68, prev_close=$13.27 (source: yahoo)
2026-05-01 10:29:21 | DEBUG    | shortsqueeze.signals:scan_stock - VG: No signal - price=False (-4.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($12.68 vs VWAP $13.08), squeeze=False, mom=False
2026-05-01 10:29:22 | DEBUG    | shortsqueeze.signals:scan_stock - CAR: price=$187.30, prev_close=$180.67 (source: yahoo)
2026-05-01 10:29:22 | DEBUG    | shortsqueeze.signals:scan_stock - CAR: No signal - price=False (+3.7%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($187.30 vs VWAP $185.45), squeeze=False, mom=False
2026-05-01 10:29:23 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: price=$11.59, prev_close=$11.27 (source: yahoo)
2026-05-01 10:29:23 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: Using Yahoo volume=664,911
2026-05-01 10:29:23 | DEBUG    | shortsqueeze.signals:scan_stock - PLAY: No signal - price=False (+2.8%, need +5.0%), vol=False (ratio=0.7x, need 3.0x, src=yahoo), vwap=True ($11.59 vs VWAP $11.13), squeeze=False, mom=False
2026-05-01 10:29:24 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: price=$14.71, prev_close=$14.21 (source: yahoo)
2026-05-01 10:29:24 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: Using Yahoo volume=532,178
2026-05-01 10:29:24 | DEBUG    | shortsqueeze.signals:scan_stock - GRPN: No signal - price=False (+3.5%, need +5.0%), vol=False (ratio=0.4x, need 3.0x, src=yahoo), vwap=True ($14.71 vs VWAP $14.03), squeeze=False, mom=False
2026-05-01 10:29:24 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: price=$12.46, prev_close=$12.53 (source: yahoo)
2026-05-01 10:29:25 | DEBUG    | shortsqueeze.signals:scan_stock - CLSK: No signal - price=False (-0.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($12.46 vs VWAP $12.39), squeeze=False, mom=False
2026-05-01 10:29:25 | DEBUG    | shortsqueeze.signals:scan_stock - HTZ: price=$6.26, prev_close=$6.36 (source: yahoo)
2026-05-01 10:29:25 | DEBUG    | shortsqueeze.signals:scan_stock - HTZ: No signal - price=False (-1.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($6.26 vs VWAP $6.59), squeeze=False, mom=False
2026-05-01 10:29:26 | DEBUG    | shortsqueeze.signals:scan_stock - VITL: price=$14.14, prev_close=$13.65 (source: yahoo)
2026-05-01 10:29:26 | DEBUG    | shortsqueeze.signals:scan_stock - VITL: No signal - price=False (+3.6%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($14.14 vs VWAP $13.17), squeeze=False, mom=False
2026-05-01 10:29:27 | DEBUG    | shortsqueeze.signals:scan_stock - SPRY: price=$8.41, prev_close=$8.26 (source: yahoo)
2026-05-01 10:29:27 | DEBUG    | shortsqueeze.signals:scan_stock - SPRY: No signal - price=False (+1.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($8.41 vs VWAP $8.05), squeeze=False, mom=False
2026-05-01 10:29:27 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: price=$26.66, prev_close=$26.66 (source: yahoo)
2026-05-01 10:29:27 | DEBUG    | shortsqueeze.signals:scan_stock - KALV: No signal - price=False (-0.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($26.66 vs VWAP $26.67), squeeze=False, mom=False
2026-05-01 10:29:28 | DEBUG    | shortsqueeze.signals:scan_stock - CRML: price=$12.73, prev_close=$12.73 (source: yahoo)
2026-05-01 10:29:28 | DEBUG    | shortsqueeze.signals:scan_stock - CRML: No signal - price=False (-0.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($12.73 vs VWAP $12.52), squeeze=False, mom=False
2026-05-01 10:29:29 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: price=$7.83, prev_close=$7.48 (source: yahoo)
2026-05-01 10:29:29 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: Using Yahoo volume=1,878,798
2026-05-01 10:29:29 | DEBUG    | shortsqueeze.signals:scan_stock - PCT: No signal - price=False (+4.7%, need +5.0%), vol=False (ratio=0.9x, need 3.0x, src=yahoo), vwap=True ($7.83 vs VWAP $7.48), squeeze=False, mom=False
2026-05-01 10:29:29 | DEBUG    | shortsqueeze.signals:scan_stock - GO: price=$8.32, prev_close=$7.91 (source: yahoo)
2026-05-01 10:29:29 | DEBUG    | shortsqueeze.signals:scan_stock - GO: No signal - price=True (+5.2%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($8.32 vs VWAP $7.91), squeeze=False, mom=False
2026-05-01 10:29:30 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: price=$26.41, prev_close=$27.17 (source: yahoo)
2026-05-01 10:29:30 | DEBUG    | shortsqueeze.signals:scan_stock - HIMS: No signal - price=False (-2.8%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=False ($26.41 vs VWAP $26.57), squeeze=False, mom=False
2026-05-01 10:29:31 | DEBUG    | shortsqueeze.signals:scan_stock - SOUN: price=$9.27, prev_close=$7.96 (source: yahoo)
2026-05-01 10:29:31 | DEBUG    | shortsqueeze.signals:scan_stock - SOUN: No signal - price=True (+16.5%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($9.27 vs VWAP $7.88), squeeze=False, mom=False
2026-05-01 10:29:32 | DEBUG    | shortsqueeze.signals:scan_stock - ACHC: price=$27.31, prev_close=$25.89 (source: yahoo)
2026-05-01 10:29:32 | DEBUG    | shortsqueeze.signals:scan_stock - ACHC: Using Yahoo volume=2,597,628
2026-05-01 10:29:32 | DEBUG    | shortsqueeze.signals:scan_stock - ACHC: No signal - price=True (+5.5%, need +5.0%), vol=False (ratio=1.3x, need 3.0x, src=yahoo), vwap=True ($27.31 vs VWAP $24.22), squeeze=False, mom=False
2026-05-01 10:29:32 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: price=$7.25, prev_close=$7.10 (source: yahoo)
2026-05-01 10:29:33 | DEBUG    | shortsqueeze.signals:scan_stock - IBRX: No signal - price=False (+2.0%, need +5.0%), vol=False (ratio=0.0x, need 3.0x, src=alpaca), vwap=True ($7.25 vs VWAP $7.09), squeeze=False, mom=False
2026-05-01 10:29:33 | DEBUG    | shortsqueeze.signals:scan_stock - TRIP: price=$11.45, prev_close=$11.13 (source: yahoo)
2026-05-01 10:29:33 | DEBUG    | shortsqueeze.signals:scan_stock - TRIP: Using Yahoo volume=824,609
2026-05-01 10:29:33 | DEBUG    | shortsqueeze.signals:scan_stock - TRIP: No signal - price=False (+2.8%, need +5.0%), vol=False (ratio=0.5x, need 3.0x, src=yahoo), vwap=True ($11.45 vs VWAP $11.18), squeeze=False, mom=False
2026-05-01 10:29:34 | DEBUG    | shortsqueeze.signals:scan_stock - NTLA: price=$13.25, prev_close=$13.48 (source: yahoo)
